都道府県市区町村コード,市区町村名,基準メッシュコード,備考
32202,浜田市,52321257,
32202,浜田市,52321258,
32202,浜田市,52321260,
32202,浜田市,52321261,
32202,浜田市,52321262,
32202,浜田市,52321263,
32202,浜田市,52321264,
32202,浜田市,52321265,
32202,浜田市,52321266,
32202,浜田市,52321267,
32202,浜田市,52321268,
32202,浜田市,52321269,
32202,浜田市,52321270,
32202,浜田市,52321271,
32202,浜田市,52321272,
32202,浜田市,52321273,
32202,浜田市,52321274,
32202,浜田市,52321275,
32202,浜田市,52321276,
32202,浜田市,52321277,
32202,浜田市,52321278,
32202,浜田市,52321279,
32202,浜田市,52321280,
32202,浜田市,52321281,
32202,浜田市,52321282,
32202,浜田市,52321283,
32202,浜田市,52321284,
32202,浜田市,52321285,
32202,浜田市,52321286,
32202,浜田市,52321287,
32202,浜田市,52321288,
32202,浜田市,52321289,
32202,浜田市,52321290,
32202,浜田市,52321291,
32202,浜田市,52321292,
32202,浜田市,52321293,
32202,浜田市,52321294,
32202,浜田市,52321295,
32202,浜田市,52321296,
32202,浜田市,52321297,
32202,浜田市,52321298,
32202,浜田市,52321299,
32202,浜田市,52321350,
32202,浜田市,52321360,
32202,浜田市,52321370,
32202,浜田市,52321380,
32202,浜田市,52321381,
32202,浜田市,52321390,
32202,浜田市,52321391,
32202,浜田市,52322000,
32202,浜田市,52322001,
32202,浜田市,52322002,
32202,浜田市,52322003,
32202,浜田市,52322004,
32202,浜田市,52322005,
32202,浜田市,52322006,
32202,浜田市,52322007,
32202,浜田市,52322008,
32202,浜田市,52322009,
32202,浜田市,52322010,
32202,浜田市,52322011,
32202,浜田市,52322012,
32202,浜田市,52322013,
32202,浜田市,52322014,
32202,浜田市,52322015,
32202,浜田市,52322016,
32202,浜田市,52322017,
32202,浜田市,52322018,
32202,浜田市,52322019,
32202,浜田市,52322020,
32202,浜田市,52322021,
32202,浜田市,52322022,
32202,浜田市,52322023,
